image_name,annotation_index,class_name,class_id,x_min,y_min,x_max,y_max,box_width,box_height,image_width,image_height
RT_AL_02_14488023,0,porosity,3,588,333,663,372,75,39,1280,720
RT_AL_02_14488023,1,porosity,3,1086,206,1176,229,90,23,1280,720
RT_AL_02_14488032,0,porosity,3,326,256,356,305,30,49,1280,720
RT_AL_02_14488032,1,porosity,3,706,443,738,468,32,25,1280,720
RT_AL_02_14488032,2,porosity,3,839,227,863,246,24,19,1280,720
RT_AL_02_14488033,0,porosity,3,1028,276,1071,308,43,32,1280,720
RT_AL_02_14488033,1,porosity,3,82,320,154,411,72,91,1280,720
RT_AL_02_14488033,2,porosity,3,845,388,894,445,49,57,1280,720
RT_AL_02_14488036,0,porosity,3,608,318,681,380,73,62,1280,720
RT_AL_02_14488048,0,porosity,3,682,27,774,74,92,47,1280,720
RT_AL_02_14488048,1,porosity,3,633,36,673,70,40,34,1280,720
RT_AL_02_14488048,2,porosity,3,516,26,565,58,49,32,1280,720
RT_AL_02_14488048,3,porosity,3,477,5,510,41,33,36,1280,720
RT_AL_02_14488048,4,porosity,3,287,6,354,49,67,43,1280,720
RT_AL_02_14488048,5,porosity,3,48,32,84,81,36,49,1280,720
RT_AL_02_14488048,6,porosity,3,613,329,664,375,51,46,1280,720
RT_AL_02_14488048,7,porosity,3,664,426,696,445,32,19,1280,720
RT_AL_02_14488048,8,porosity,3,641,424,700,520,59,96,1280,720
RT_AL_02_14488048,9,porosity,3,627,625,658,649,31,24,1280,720
RT_AL_02_14488062,0,porosity,3,672,251,744,287,72,36,1280,720
RT_AL_02_14488062,1,porosity,3,707,457,727,481,20,24,1280,720
RT_AL_02_14488062,2,porosity,3,729,580,775,604,46,24,1280,720
RT_AL_02_14488062,3,porosity,3,176,638,213,664,37,26,1280,720
RT_AL_02_14488068,0,porosity,3,589,307,671,383,82,76,1280,720
RT_AL_02_14488068,1,porosity,3,483,653,517,691,34,38,1280,720
RT_AL_02_14488068,2,porosity,3,475,26,517,50,42,24,1280,720
RT_AL_02_14488068,3,porosity,3,342,28,362,52,20,24,1280,720
RT_AL_02_14488069,0,porosity,3,1060,273,1147,332,87,59,1280,720
RT_AL_02_14488069,1,porosity,3,598,331,718,392,120,61,1280,720
RT_AL_02_14488080,0,porosity,3,567,299,685,406,118,107,1280,720
RT_AL_02_14488091,0,porosity,3,629,348,654,371,25,23,1280,720
RT_AL_02_14488097,0,porosity,3,622,337,649,368,27,31,1280,720
RT_AL_02_14488112,0,porosity,3,543,332,569,366,26,34,1280,720
RT_AL_02_14488136,0,porosity,3,589,317,699,403,110,86,1280,720
RT_AL_02_14488155,0,porosity,3,863,196,893,227,30,31,1280,720
RT_AL_02_14488155,1,porosity,3,587,293,730,386,143,93,1280,720
RT_AL_02_14488176,0,porosity,3,581,310,661,394,80,84,1280,720
RT_AL_02_14488184,0,porosity,3,856,341,875,362,19,21,1280,720
RT_AL_02_14488184,1,porosity,3,576,311,680,407,104,96,1280,720
RT_AL_02_14488193,0,porosity,3,1059,264,1154,330,95,66,1280,720
RT_AL_02_14488193,1,porosity,3,585,299,702,373,117,74,1280,720
RT_AL_02_14488198,0,porosity,3,589,308,676,384,87,76,1280,720
RT_AL_02_14488212,0,porosity,3,632,314,705,389,73,75,1280,720
RT_AL_02_14488218,0,porosity,3,312,340,361,373,49,33,1280,720
RT_AL_02_14488218,1,porosity,3,512,216,551,242,39,26,1280,720
RT_AL_02_14488218,2,porosity,3,230,247,289,279,59,32,1280,720
RT_AL_02_14488218,3,porosity,3,30,395,70,424,40,29,1280,720
RT_AL_02_14488218,4,porosity,3,28,454,66,474,38,20,1280,720
RT_AL_02_14488218,5,porosity,3,541,334,583,375,42,41,1280,720
RT_AL_02_14488218,6,porosity,3,924,78,957,101,33,23,1280,720
RT_AL_02_14488218,7,porosity,3,693,290,737,317,44,27,1280,720
RT_AL_02_14488222,0,porosity,3,609,329,666,379,57,50,1280,720
RT_AL_02_14488222,1,porosity,3,957,397,1008,437,51,40,1280,720
RT_AL_02_14488270,0,porosity,3,394,290,478,375,84,85,1280,720
RT_AL_02_14488270,1,porosity,3,611,316,690,389,79,73,1280,720
RT_AL_02_14488272,0,porosity,3,57,50,77,70,20,20,1280,720
RT_AL_02_14488272,1,porosity,3,295,12,323,42,28,30,1280,720
RT_AL_02_14488272,2,porosity,3,472,13,509,44,37,31,1280,720
RT_AL_02_14488272,3,porosity,3,526,19,561,50,35,31,1280,720
RT_AL_02_14488272,4,porosity,3,633,35,678,71,45,36,1280,720
RT_AL_02_14488272,5,porosity,3,686,23,732,67,46,44,1280,720
RT_AL_02_14488272,6,porosity,3,749,48,772,75,23,27,1280,720
RT_AL_02_14488272,7,porosity,3,615,338,654,373,39,35,1280,720
RT_AL_02_14488272,8,porosity,3,665,423,697,446,32,23,1280,720
RT_AL_02_14488272,9,porosity,3,644,435,673,490,29,55,1280,720
RT_AL_02_14488272,10,porosity,3,626,628,654,649,28,21,1280,720
RT_AL_02_14488285,0,porosity,3,590,317,672,394,82,77,1280,720
RT_AL_02_14488306,0,porosity,3,565,276,707,430,142,154,1280,720
RT_AL_02_14488324,0,porosity,3,598,304,629,375,31,71,1280,720
RT_AL_02_14488328,0,porosity,3,635,326,665,394,30,68,1280,720
RT_AL_02_14488328,1,porosity,3,1020,57,1058,103,38,46,1280,720
RT_AL_02_14488343,0,porosity,3,611,356,645,372,34,16,1280,720
RT_AL_02_14488368,0,porosity,3,699,17,762,56,63,39,1280,720
RT_AL_02_14488368,1,porosity,3,610,340,650,374,40,34,1280,720
RT_AL_02_14488368,2,porosity,3,487,330,519,358,32,28,1280,720
RT_AL_02_14488368,3,porosity,3,577,515,604,544,27,29,1280,720
RT_AL_02_14488368,4,porosity,3,489,531,519,557,30,26,1280,720
RT_AL_02_14488368,5,porosity,3,485,636,503,656,18,20,1280,720
RT_AL_02_14488368,6,porosity,3,1183,250,1211,284,28,34,1280,720
RT_AL_02_14488379,0,porosity,3,956,347,1026,397,70,50,1280,720
RT_AL_02_14488379,1,porosity,3,623,338,676,373,53,35,1280,720
RT_AL_02_14488379,2,porosity,3,275,348,314,378,39,30,1280,720
RT_AL_02_14488384,0,porosity,3,606,349,677,380,71,31,1280,720
RT_AL_02_14488384,1,porosity,3,453,324,485,359,32,35,1280,720
RT_AL_02_14488384,2,porosity,3,154,531,177,558,23,27,1280,720
RT_AL_02_14488402,0,porosity,3,565,324,645,374,80,50,1280,720
RT_AL_02_14488422,0,porosity,3,607,347,680,384,73,37,1280,720
RT_AL_02_14488422,1,porosity,3,423,218,508,249,85,31,1280,720
RT_AL_02_14488422,2,porosity,3,1115,490,1146,511,31,21,1280,720
RT_AL_02_14488432,0,porosity,3,575,336,695,398,120,62,1280,720
RT_AL_02_14488432,1,porosity,3,739,317,834,359,95,42,1280,720
RT_AL_02_14488461,0,porosity,3,559,316,700,398,141,82,1280,720
RT_AL_02_14488466,0,porosity,3,386,573,449,616,63,43,1280,720
RT_AL_02_14488480,0,porosity,3,602,324,677,384,75,60,1280,720
RT_AL_02_14488486,0,porosity,3,890,200,924,225,34,25,1280,720
RT_AL_02_14488486,1,porosity,3,629,345,658,383,29,38,1280,720
RT_AL_02_14488488,0,porosity,3,582,305,699,386,117,81,1280,720
RT_AL_02_14488488,1,porosity,3,1129,327,1179,377,50,50,1280,720
RT_AL_02_14488506,0,porosity,3,603,320,655,382,52,62,1280,720
RT_AL_02_14488506,1,porosity,3,837,519,855,537,18,18,1280,720
RT_AL_02_14488506,2,porosity,3,399,645,445,678,46,33,1280,720
RT_AL_02_14488506,3,porosity,3,128,176,150,203,22,27,1280,720
RT_AL_02_14488506,4,porosity,3,407,49,433,66,26,17,1280,720
RT_AL_02_14488509,0,porosity,3,532,312,717,414,185,102,1280,720
RT_AL_02_14488533,0,porosity,3,589,337,679,406,90,69,1280,720
RT_AL_02_14488543,0,porosity,3,610,314,657,380,47,66,1280,720
RT_AL_02_14488543,1,porosity,3,604,282,637,317,33,35,1280,720
RT_AL_02_14488543,2,porosity,3,579,365,611,401,32,36,1280,720
RT_AL_02_14488543,3,porosity,3,166,173,220,222,54,49,1280,720
RT_AL_02_14488570,0,porosity,3,617,354,689,386,72,32,1280,720
RT_AL_02_14488582,0,porosity,3,597,324,651,394,54,70,1280,720
RT_AL_02_14488582,1,porosity,3,396,233,424,257,28,24,1280,720
RT_AL_02_14488584,0,porosity,3,643,351,660,373,17,22,1280,720
RT_AL_02_14488584,1,porosity,3,586,538,604,571,18,33,1280,720
RT_AL_02_14488584,2,porosity,3,528,542,547,573,19,31,1280,720
RT_AL_02_14488590,0,porosity,3,584,327,713,417,129,90,1280,720
RT_AL_02_14488600,0,porosity,3,153,309,176,336,23,27,1280,720
RT_AL_02_14488600,1,porosity,3,106,348,118,390,12,42,1280,720
RT_AL_02_14488600,2,porosity,3,170,277,183,290,13,13,1280,720
RT_AL_02_14488606,0,porosity,3,354,584,376,598,22,14,1280,720
RT_AL_02_14488606,1,porosity,3,646,135,679,173,33,38,1280,720
RT_AL_02_14488621,0,porosity,3,167,315,207,360,40,45,1280,720
RT_AL_02_14488621,1,porosity,3,561,310,706,393,145,83,1280,720
RT_AL_02_14488625,0,porosity,3,987,125,1013,155,26,30,1280,720
RT_AL_02_14488625,1,porosity,3,367,318,465,402,98,84,1280,720
RT_AL_02_14488626,0,porosity,3,1232,230,1257,257,25,27,1280,720
RT_AL_02_14488626,1,porosity,3,1223,258,1239,297,16,39,1280,720
RT_AL_02_14488626,2,porosity,3,1193,275,1217,302,24,27,1280,720
RT_AL_02_14488626,3,porosity,3,1175,292,1198,318,23,26,1280,720
RT_AL_02_14488626,4,porosity,3,1204,339,1228,353,24,14,1280,720
RT_AL_02_14488626,5,porosity,3,1133,277,1155,316,22,39,1280,720
RT_AL_02_14488626,6,porosity,3,1159,257,1187,281,28,24,1280,720
RT_AL_02_14488626,7,porosity,3,1042,414,1069,443,27,29,1280,720
RT_AL_02_14488626,8,porosity,3,840,266,919,364,79,98,1280,720
RT_AL_02_14488626,9,porosity,3,592,323,690,391,98,68,1280,720
RT_AL_02_14488626,10,porosity,3,34,370,106,431,72,61,1280,720
RT_AL_02_14488661,0,porosity,3,862,396,1027,502,165,106,1280,720
RT_AL_02_14488661,1,porosity,3,569,320,717,458,148,138,1280,720
RT_AL_02_14488663,0,porosity,3,542,312,681,422,139,110,1280,720
RT_AL_02_14488665,0,porosity,3,615,342,667,371,52,29,1280,720
RT_AL_02_14488682,0,porosity,3,1093,285,1231,395,138,110,1280,720
RT_AL_02_14488682,1,porosity,3,395,402,509,506,114,104,1280,720
RT_AL_02_14488682,2,slag_inclusion,4,558,316,741,397,183,81,1280,720
RT_AL_02_14488683,0,porosity,3,153,314,170,337,17,23,1280,720
RT_AL_02_14488683,1,porosity,3,105,352,121,400,16,48,1280,720
RT_AL_02_14488690,0,porosity,3,765,241,845,328,80,87,1280,720
RT_AL_02_14488690,1,porosity,3,559,323,711,397,152,74,1280,720
RT_AL_02_14488690,2,porosity,3,134,205,203,277,69,72,1280,720
RT_AL_02_14488700,0,porosity,3,869,272,967,348,98,76,1280,720
RT_AL_02_14488700,1,porosity,3,468,221,542,290,74,69,1280,720
RT_AL_02_14488700,2,porosity,3,394,307,500,409,106,102,1280,720
RT_AL_02_14488705,0,porosity,3,608,339,652,381,44,42,1280,720
RT_AL_02_14488716,0,porosity,3,621,344,653,377,32,33,1280,720
RT_AL_02_14488733,0,porosity,3,608,332,666,362,58,30,1280,720
RT_AL_02_14488733,1,porosity,3,1206,297,1231,313,25,16,1280,720
RT_AL_02_14488745,0,porosity,3,501,328,549,373,48,45,1280,720
RT_AL_02_14488745,1,porosity,3,137,351,168,378,31,27,1280,720
RT_AL_02_14488745,2,porosity,3,769,136,813,161,44,25,1280,720
RT_AL_02_14488749,0,porosity,3,599,344,691,376,92,32,1280,720
RT_AL_02_14488749,1,porosity,3,369,450,467,507,98,57,1280,720
RT_AL_02_14488749,2,porosity,3,228,437,346,504,118,67,1280,720
RT_AL_02_14488767,0,porosity,3,243,613,280,653,37,40,1280,720
RT_AL_02_14488767,1,porosity,3,1199,516,1234,551,35,35,1280,720
RT_AL_02_14488767,2,porosity,3,611,338,650,379,39,41,1280,720
RT_AL_02_14488779,0,porosity,3,595,299,683,413,88,114,1280,720
RT_AL_02_14488786,0,porosity,3,538,327,700,398,162,71,1280,720
RT_AL_02_14488795,0,porosity,3,575,307,756,417,181,110,1280,720
RT_AL_02_14488809,0,porosity,3,634,351,658,372,24,21,1280,720
RT_AL_02_14488813,0,porosity,3,622,356,644,367,22,11,1280,720
RT_AL_02_14488830,0,porosity,3,1155,240,1257,352,102,112,1280,720
RT_AL_02_14488830,1,porosity,3,986,241,1120,336,134,95,1280,720
RT_AL_02_14488830,2,porosity,3,581,282,724,435,143,153,1280,720
RT_AL_02_14488830,3,porosity,3,74,346,171,407,97,61,1280,720
RT_AL_02_14488830,4,porosity,3,229,282,356,424,127,142,1280,720
RT_AL_02_14488847,0,porosity,3,585,328,689,509,104,181,1280,720
RT_AL_02_14488854,0,porosity,3,585,316,679,396,94,80,1280,720
RT_AL_02_14488857,0,porosity,3,488,103,503,135,15,32,1280,720
RT_AL_02_14488857,1,porosity,3,625,337,638,364,13,27,1280,720
RT_AL_02_14488857,2,porosity,3,746,426,759,461,13,35,1280,720
RT_AL_02_14488857,3,porosity,3,836,466,846,481,10,15,1280,720
RT_AL_02_14488858,0,porosity,3,1154,330,1193,375,39,45,1280,720
RT_AL_02_14488858,1,porosity,3,923,156,941,176,18,20,1280,720
RT_AL_02_14488858,2,porosity,3,862,189,889,217,27,28,1280,720
RT_AL_02_14488858,3,porosity,3,606,338,662,379,56,41,1280,720
RT_AL_02_14488858,4,porosity,3,491,317,519,355,28,38,1280,720
RT_AL_02_14488858,5,porosity,3,327,322,363,346,36,24,1280,720
RT_AL_02_14488858,6,porosity,3,63,315,100,356,37,41,1280,720
RT_AL_02_14488878,0,porosity,3,1129,344,1252,427,123,83,1280,720
RT_AL_02_14488878,1,porosity,3,594,316,679,379,85,63,1280,720
RT_AL_02_14488878,2,porosity,3,38,330,206,434,168,104,1280,720
RT_AL_02_14488902,0,porosity,3,406,108,429,153,23,45,1280,720
RT_AL_02_14488902,1,porosity,3,535,210,563,233,28,23,1280,720
RT_AL_02_14488902,2,porosity,3,620,109,642,128,22,19,1280,720
RT_AL_02_14488902,3,porosity,3,682,348,703,380,21,32,1280,720
RT_AL_02_14488913,0,porosity,3,910,497,950,534,40,37,1280,720
RT_AL_02_14488920,0,porosity,3,924,337,956,370,32,33,1280,720
RT_AL_02_14488920,1,porosity,3,604,337,669,376,65,39,1280,720
RT_AL_02_14488925,0,porosity,3,455,292,576,336,121,44,1280,720
RT_AL_02_14488925,1,porosity,3,592,307,695,353,103,46,1280,720
RT_AL_02_14488936,0,porosity,3,587,334,725,383,138,49,1280,720
RT_AL_02_14488939,0,porosity,3,575,339,718,392,143,53,1280,720
RT_AL_02_14488967,0,porosity,3,156,314,261,372,105,58,1280,720
RT_AL_02_14488967,1,porosity,3,567,314,730,384,163,70,1280,720
RT_AL_02_14488984,0,porosity,3,571,272,737,357,166,85,1280,720
RT_AL_02_14488984,1,porosity,3,260,300,366,412,106,112,1280,720
RT_AL_02_14488984,2,porosity,3,124,327,236,386,112,59,1280,720
RT_AL_02_14488988,0,porosity,3,802,308,870,388,68,80,1280,720
RT_AL_02_14488988,1,porosity,3,618,344,662,376,44,32,1280,720
RT_AL_02_14488988,2,porosity,3,1159,322,1209,349,50,27,1280,720
RT_AL_02_14488988,3,porosity,3,157,277,199,297,42,20,1280,720
RT_AL_02_14488988,4,porosity,3,405,256,433,285,28,29,1280,720
RT_AL_02_14488988,5,porosity,3,51,290,105,321,54,31,1280,720
RT_AL_02_14489005,0,porosity,3,316,327,400,386,84,59,1280,720
RT_AL_02_14489020,0,porosity,3,665,477,925,583,260,106,1280,720
RT_AL_02_14489020,1,porosity,3,609,341,675,380,66,39,1280,720
RT_AL_02_14489020,2,porosity,3,13,68,126,121,113,53,1280,720
RT_AL_02_14489030,0,porosity,3,606,316,697,395,91,79,1280,720
RT_AL_02_14489033,0,porosity,3,633,354,649,371,16,17,1280,720
RT_AL_02_14489033,1,porosity,3,377,110,394,143,17,33,1280,720
RT_AL_02_14489033,2,porosity,3,676,630,692,657,16,27,1280,720
RT_AL_02_14489033,3,porosity,3,616,619,636,668,20,49,1280,720
RT_AL_02_14489043,0,porosity,3,1018,452,1041,468,23,16,1280,720
RT_AL_02_14489043,1,porosity,3,988,454,1010,473,22,19,1280,720
RT_AL_02_14489043,2,porosity,3,634,350,651,369,17,19,1280,720
RT_AL_02_14489043,3,porosity,3,369,478,394,499,25,21,1280,720
RT_AL_02_14489044,0,porosity,3,1088,109,1117,155,29,46,1280,720
RT_AL_02_14489044,1,porosity,3,241,180,276,206,35,26,1280,720
RT_AL_02_14489044,2,porosity,3,92,503,109,531,17,28,1280,720
RT_AL_02_14489051,0,porosity,3,623,342,655,377,32,35,1280,720
RT_AL_02_14489051,1,porosity,3,1149,375,1173,404,24,29,1280,720
RT_AL_02_14489051,2,porosity,3,250,594,276,628,26,34,1280,720
RT_AL_02_14489063,0,porosity,3,594,323,668,380,74,57,1280,720
RT_AL_02_14489063,1,porosity,3,407,246,468,333,61,87,1280,720
RT_AL_02_14489072,0,porosity,3,611,323,675,391,64,68,1280,720
RT_AL_02_14489098,0,porosity,3,875,340,896,361,21,21,1280,720
RT_AL_02_14489098,1,porosity,3,998,284,1014,303,16,19,1280,720
RT_AL_02_14489098,2,porosity,3,984,374,1010,410,26,36,1280,720
RT_AL_02_14489098,3,porosity,3,1221,227,1241,246,20,19,1280,720
RT_AL_02_14489098,4,porosity,3,630,342,661,379,31,37,1280,720
RT_AL_02_14489098,5,porosity,3,499,347,516,363,17,16,1280,720
RT_AL_02_14489098,6,porosity,3,450,336,478,373,28,37,1280,720
RT_AL_02_14489098,7,porosity,3,285,341,328,377,43,36,1280,720
RT_AL_02_14489115,0,porosity,3,215,317,327,413,112,96,1280,720
RT_AL_02_14489115,1,porosity,3,583,281,699,425,116,144,1280,720
RT_AL_02_14489115,2,porosity,3,1023,365,1103,453,80,88,1280,720
RT_AL_02_14489115,3,porosity,3,1171,357,1255,449,84,92,1280,720
RT_AL_02_14489126,0,porosity,3,608,321,685,371,77,50,1280,720
RT_AL_02_14489137,0,porosity,3,1050,365,1097,382,47,17,1280,720
RT_AL_02_14489156,0,porosity,3,591,322,676,407,85,85,1280,720
RT_AL_02_14489158,0,porosity,3,1070,332,1124,377,54,45,1280,720
RT_AL_02_14489158,1,porosity,3,473,230,517,271,44,41,1280,720
RT_AL_02_14489171,0,porosity,3,581,315,690,416,109,101,1280,720
RT_AL_02_14489171,1,porosity,3,279,82,352,188,73,106,1280,720
RT_AL_02_14489175,0,porosity,3,583,302,684,404,101,102,1280,720
RT_AL_02_14489182,0,porosity,3,607,301,716,369,109,68,1280,720
RT_AL_02_14489189,0,porosity,3,1115,331,1176,372,61,41,1280,720
RT_AL_02_14489189,1,porosity,3,1121,384,1189,422,68,38,1280,720
RT_AL_02_14489189,2,porosity,3,1045,315,1103,352,58,37,1280,720
RT_AL_02_14489189,3,porosity,3,978,318,997,337,19,19,1280,720
RT_AL_02_14489189,4,porosity,3,973,341,998,367,25,26,1280,720
RT_AL_02_14489189,5,porosity,3,947,333,969,353,22,20,1280,720
RT_AL_02_14489189,6,porosity,3,867,335,899,360,32,25,1280,720
RT_AL_02_14489189,7,porosity,3,845,328,861,355,16,27,1280,720
RT_AL_02_14489189,8,porosity,3,756,338,785,360,29,22,1280,720
RT_AL_02_14489189,9,porosity,3,719,341,736,362,17,21,1280,720
RT_AL_02_14489189,10,porosity,3,624,341,648,371,24,30,1280,720
RT_AL_02_14489189,11,porosity,3,629,380,660,397,31,17,1280,720
RT_AL_02_14489189,12,porosity,3,568,351,586,371,18,20,1280,720
RT_AL_02_14489189,13,porosity,3,446,332,487,380,41,48,1280,720
RT_AL_02_14489189,14,porosity,3,387,343,431,375,44,32,1280,720
RT_AL_02_14489189,15,porosity,3,296,324,338,356,42,32,1280,720
RT_AL_02_14489189,16,porosity,3,339,345,353,359,14,14,1280,720
RT_AL_02_14489189,17,porosity,3,302,309,326,322,24,13,1280,720
RT_AL_02_14489189,18,porosity,3,173,314,222,344,49,30,1280,720
RT_AL_02_14489189,19,porosity,3,123,324,150,359,27,35,1280,720
RT_AL_02_14489189,20,porosity,3,161,359,193,382,32,23,1280,720
RT_AL_02_14489189,21,porosity,3,28,376,69,420,41,44,1280,720
RT_AL_02_14489189,22,porosity,3,0,320,32,346,32,26,1280,720
RT_AL_02_14489189,23,porosity,3,32,312,65,344,33,32,1280,720
RT_AL_02_14489193,0,porosity,3,1019,519,1068,587,49,68,1280,720
RT_AL_02_14489193,1,porosity,3,633,334,673,353,40,19,1280,720
RT_AL_02_14489194,0,porosity,3,112,392,131,416,19,24,1280,720
RT_AL_02_14489195,0,porosity,3,359,316,489,428,130,112,1280,720
RT_AL_02_14489201,0,porosity,3,762,87,782,116,20,29,1280,720
RT_AL_02_14489201,1,porosity,3,1144,142,1158,178,14,36,1280,720
RT_AL_02_14489201,2,porosity,3,941,257,949,288,8,31,1280,720
RT_AL_02_14489201,3,porosity,3,634,242,655,283,21,41,1280,720
RT_AL_02_14489201,4,porosity,3,522,308,541,325,19,17,1280,720
RT_AL_02_14489201,5,porosity,3,128,396,146,417,18,21,1280,720
RT_AL_02_14489201,6,porosity,3,272,687,291,715,19,28,1280,720
RT_AL_02_14489201,7,porosity,3,723,675,741,703,18,28,1280,720
RT_AL_02_14489222,0,porosity,3,726,329,822,383,96,54,1280,720
RT_AL_02_14489222,1,porosity,3,628,340,681,380,53,40,1280,720
RT_AL_02_14489222,2,porosity,3,177,9,232,46,55,37,1280,720
RT_AL_02_14489222,3,porosity,3,122,442,167,457,45,15,1280,720
RT_AL_02_14489225,0,porosity,3,1111,375,1170,435,59,60,1280,720
RT_AL_02_14489225,1,porosity,3,1027,360,1083,407,56,47,1280,720
RT_AL_02_14489225,2,porosity,3,830,383,903,420,73,37,1280,720
RT_AL_02_14489225,3,porosity,3,763,379,793,411,30,32,1280,720
RT_AL_02_14489225,4,porosity,3,605,345,669,378,64,33,1280,720
RT_AL_02_14489225,5,porosity,3,323,354,460,401,137,47,1280,720
RT_AL_02_14489225,6,porosity,3,150,372,202,412,52,40,1280,720
RT_AL_02_14489225,7,porosity,3,223,361,262,393,39,32,1280,720
RT_AL_02_14489231,0,porosity,3,572,286,690,378,118,92,1280,720
RT_AL_02_14489237,0,porosity,3,272,358,300,373,28,15,1280,720
RT_AL_02_14489251,0,porosity,3,511,333,710,394,199,61,1280,720
RT_AL_02_14489265,0,porosity,3,602,317,661,370,59,53,1280,720
RT_AL_02_14489269,0,porosity,3,623,356,654,373,31,17,1280,720
RT_AL_02_14489312,0,porosity,3,547,335,569,365,22,30,1280,720
