case_id,image_name,error_type,gt_class,gt_size_bucket,pred_class,confidence,box_area_ratio,near_edge,duplicate_of_tp,case_image_path
RT_AL_02_14488068_004,RT_AL_02_14488068.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488068_004.jpg
RT_AL_02_14488091_001,RT_AL_02_14488091.jpg,false_positive,,,porosity,0.274208,0.00067056,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14488091_001.jpg
RT_AL_02_14488212_001,RT_AL_02_14488212.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488212_001.jpg
RT_AL_02_14488328_001,RT_AL_02_14488328.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488328_001.jpg
RT_AL_02_14488328_002,RT_AL_02_14488328.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488328_002.jpg
RT_AL_02_14488384_001,RT_AL_02_14488384.jpg,false_positive,,,porosity,0.343444,0.00107190,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14488384_001.jpg
RT_AL_02_14488422_001,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488422_001.jpg
RT_AL_02_14488422_002,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488422_002.jpg
RT_AL_02_14488422_003,RT_AL_02_14488422.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488422_003.jpg
RT_AL_02_14488432_001,RT_AL_02_14488432.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488432_001.jpg
RT_AL_02_14488506_001,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488506_001.jpg
RT_AL_02_14488506_002,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488506_002.jpg
RT_AL_02_14488506_003,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488506_003.jpg
RT_AL_02_14488506_004,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488506_004.jpg
RT_AL_02_14488506_005,RT_AL_02_14488506.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488506_005.jpg
RT_AL_02_14488600_001,RT_AL_02_14488600.jpg,false_positive,,,porosity,0.487505,0.00066277,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14488600_001.jpg
RT_AL_02_14488600_002,RT_AL_02_14488600.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488600_002.jpg
RT_AL_02_14488625_001,RT_AL_02_14488625.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488625_001.jpg
RT_AL_02_14488661_001,RT_AL_02_14488661.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488661_001.jpg
RT_AL_02_14488661_002,RT_AL_02_14488661.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488661_002.jpg
RT_AL_02_14488733_001,RT_AL_02_14488733.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488733_001.jpg
RT_AL_02_14488733_002,RT_AL_02_14488733.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14488733_002.jpg
RT_AL_02_14488967_001,RT_AL_02_14488967.jpg,false_positive,,,porosity,0.620554,0.01431724,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14488967_001.jpg
RT_AL_02_14489201_001,RT_AL_02_14489201.jpg,false_positive,,,porosity,0.256954,0.00044862,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489201_001.jpg
RT_AL_02_14489201_002,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489201_002.jpg
RT_AL_02_14489201_003,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489201_003.jpg
RT_AL_02_14489201_004,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489201_004.jpg
RT_AL_02_14489201_005,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489201_005.jpg
RT_AL_02_14489201_006,RT_AL_02_14489201.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489201_006.jpg
RT_AL_02_14489269_001,RT_AL_02_14489269.jpg,false_positive,,,porosity,0.310526,0.00051546,True,False,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489269_001.jpg
RT_AL_02_14489269_002,RT_AL_02_14489269.jpg,false_positive,,,porosity,0.284095,0.00058746,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489269_002.jpg
RT_AL_02_14489312_001,RT_AL_02_14489312.jpg,false_positive,,,porosity,0.282510,0.00063276,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489312_001.jpg
RT_AL_02_14489420_001,RT_AL_02_14489420.jpg,false_positive,,,porosity,0.393665,0.01605577,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489420_001.jpg
RT_AL_02_14489420_002,RT_AL_02_14489420.jpg,false_positive,,,porosity,0.281941,0.00791705,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489420_002.jpg
RT_AL_02_14489420_003,RT_AL_02_14489420.jpg,false_positive,,,porosity,0.272790,0.01257233,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489420_003.jpg
RT_AL_02_14489481_001,RT_AL_02_14489481.jpg,false_positive,,,porosity,0.295012,0.00174865,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489481_001.jpg
RT_AL_02_14489481_002,RT_AL_02_14489481.jpg,false_positive,,,porosity,0.279327,0.00230681,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489481_002.jpg
RT_AL_02_14489481_003,RT_AL_02_14489481.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489481_003.jpg
RT_AL_02_14489518_001,RT_AL_02_14489518.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489518_001.jpg
RT_AL_02_14489687_001,RT_AL_02_14489687.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489687_001.jpg
RT_AL_02_14489744_001,RT_AL_02_14489744.jpg,false_positive,,,slag_inclusion,0.317828,0.03064378,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489744_001.jpg
RT_AL_02_14489744_002,RT_AL_02_14489744.jpg,false_positive,,,porosity,0.300384,0.00748587,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_02_14489744_002.jpg
RT_AL_02_14489744_003,RT_AL_02_14489744.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489744_003.jpg
RT_AL_02_14489744_004,RT_AL_02_14489744.jpg,false_negative,porosity,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489744_004.jpg
RT_AL_02_14489744_005,RT_AL_02_14489744.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14489744_005.jpg
RT_AL_02_14490164_001,RT_AL_02_14490164.jpg,false_negative,porosity,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14490164_001.jpg
RT_AL_02_14490269_001,RT_AL_02_14490269.jpg,false_negative,porosity,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_02_14490269_001.jpg
RT_AL_05_14488639_001,RT_AL_05_14488639.jpg,wrong_class,slag_inclusion,Small,porosity,0.266141,0.00067025,False,False,errors/EXP-P1-DET-005/wrong_class/RT_AL_05_14488639_001.jpg
RT_AL_05_14491963_001,RT_AL_05_14491963.jpg,false_positive,,,porosity,0.574581,0.01466886,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14491963_001.jpg
RT_AL_05_14491963_002,RT_AL_05_14491963.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14491963_002.jpg
RT_AL_05_14491968_001,RT_AL_05_14491968.jpg,localization_error,slag_inclusion,Large,slag_inclusion,0.460501,0.03507959,True,False,errors/EXP-P1-DET-005/localization_error/RT_AL_05_14491968_001.jpg
RT_AL_05_14491968_002,RT_AL_05_14491968.jpg,false_positive,,,slag_inclusion,0.355357,0.03141307,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14491968_002.jpg
RT_AL_05_14491968_003,RT_AL_05_14491968.jpg,false_positive,,,slag_inclusion,0.302829,0.03259853,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14491968_003.jpg
RT_AL_05_14491968_004,RT_AL_05_14491968.jpg,false_positive,,,slag_inclusion,0.283084,0.03356013,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14491968_004.jpg
RT_AL_05_14491968_005,RT_AL_05_14491968.jpg,false_positive,,,slag_inclusion,0.263854,0.01378075,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14491968_005.jpg
RT_AL_05_14491968_006,RT_AL_05_14491968.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14491968_006.jpg
RT_AL_05_14492092_001,RT_AL_05_14492092.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492092_001.jpg
RT_AL_05_14492118_001,RT_AL_05_14492118.jpg,localization_error,slag_inclusion,Medium,slag_inclusion,0.553214,0.01323771,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_05_14492118_001.jpg
RT_AL_05_14492118_002,RT_AL_05_14492118.jpg,false_positive,,,slag_inclusion,0.486665,0.02095116,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492118_002.jpg
RT_AL_05_14492118_003,RT_AL_05_14492118.jpg,false_positive,,,slag_inclusion,0.449749,0.02440453,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492118_003.jpg
RT_AL_05_14492118_004,RT_AL_05_14492118.jpg,false_positive,,,slag_inclusion,0.322926,0.00804313,True,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492118_004.jpg
RT_AL_05_14492118_005,RT_AL_05_14492118.jpg,false_positive,,,slag_inclusion,0.268968,0.01042850,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492118_005.jpg
RT_AL_05_14492118_006,RT_AL_05_14492118.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492118_006.jpg
RT_AL_05_14492254_001,RT_AL_05_14492254.jpg,localization_error,slag_inclusion,Medium,slag_inclusion,0.557747,0.01031267,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_05_14492254_001.jpg
RT_AL_05_14492256_001,RT_AL_05_14492256.jpg,localization_error,slag_inclusion,Medium,slag_inclusion,0.315671,0.01739930,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_05_14492256_001.jpg
RT_AL_05_14492256_002,RT_AL_05_14492256.jpg,false_positive,,,slag_inclusion,0.261735,0.01765319,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492256_002.jpg
RT_AL_05_14492256_003,RT_AL_05_14492256.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492256_003.jpg
RT_AL_05_14492256_004,RT_AL_05_14492256.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492256_004.jpg
RT_AL_05_14492383_001,RT_AL_05_14492383.jpg,false_positive,,,slag_inclusion,0.292880,0.00948739,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492383_001.jpg
RT_AL_05_14492395_001,RT_AL_05_14492395.jpg,false_positive,,,slag_inclusion,0.267504,0.02946994,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492395_001.jpg
RT_AL_05_14492419_001,RT_AL_05_14492419.jpg,false_positive,,,slag_inclusion,0.252224,0.03628914,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492419_001.jpg
RT_AL_05_14492419_002,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492419_002.jpg
RT_AL_05_14492419_003,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492419_003.jpg
RT_AL_05_14492419_004,RT_AL_05_14492419.jpg,false_negative,slag_inclusion,Small,,,,True,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492419_004.jpg
RT_AL_05_14492527_001,RT_AL_05_14492527.jpg,false_positive,,,slag_inclusion,0.435210,0.02315558,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492527_001.jpg
RT_AL_05_14492527_002,RT_AL_05_14492527.jpg,false_positive,,,slag_inclusion,0.320915,0.02050534,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492527_002.jpg
RT_AL_05_14492527_003,RT_AL_05_14492527.jpg,false_positive,,,slag_inclusion,0.265147,0.02665820,True,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492527_003.jpg
RT_AL_05_14492527_004,RT_AL_05_14492527.jpg,false_positive,,,slag_inclusion,0.257650,0.02982457,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492527_004.jpg
RT_AL_05_14492681_001,RT_AL_05_14492681.jpg,false_positive,,,slag_inclusion,0.355937,0.01690712,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492681_001.jpg
RT_AL_05_14492681_002,RT_AL_05_14492681.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492681_002.jpg
RT_AL_05_14492741_001,RT_AL_05_14492741.jpg,localization_error,slag_inclusion,Small,slag_inclusion,0.301089,0.01210788,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_05_14492741_001.jpg
RT_AL_05_14492741_002,RT_AL_05_14492741.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492741_002.jpg
RT_AL_05_14492773_001,RT_AL_05_14492773.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492773_001.jpg
RT_AL_05_14492773_002,RT_AL_05_14492773.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492773_002.jpg
RT_AL_05_14492845_001,RT_AL_05_14492845.jpg,false_positive,,,slag_inclusion,0.636278,0.01253739,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492845_001.jpg
RT_AL_05_14492845_002,RT_AL_05_14492845.jpg,false_positive,,,slag_inclusion,0.408213,0.01479484,False,True,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14492845_002.jpg
RT_AL_05_14492845_003,RT_AL_05_14492845.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492845_003.jpg
RT_AL_05_14492845_004,RT_AL_05_14492845.jpg,false_negative,slag_inclusion,Small,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14492845_004.jpg
RT_AL_05_14492954_001,RT_AL_05_14492954.jpg,localization_error,slag_inclusion,Medium,slag_inclusion,0.432747,0.01847890,False,False,errors/EXP-P1-DET-005/localization_error/RT_AL_05_14492954_001.jpg
RT_AL_05_14493074_001,RT_AL_05_14493074.jpg,false_positive,,,porosity,0.291213,0.00397954,False,False,errors/EXP-P1-DET-005/false_positive/RT_AL_05_14493074_001.jpg
RT_AL_05_14493074_002,RT_AL_05_14493074.jpg,false_negative,slag_inclusion,Large,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14493074_002.jpg
RT_AL_05_14493390_001,RT_AL_05_14493390.jpg,false_negative,slag_inclusion,Medium,,,,False,False,errors/EXP-P1-DET-005/false_negative/RT_AL_05_14493390_001.jpg
