image_name,image_path,json_path,error_codes,warning_codes,info_codes,error_count,warning_count,info_count,include
RT_AL_00_14483552,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483552.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483552.json,,,,0,0,0,True
RT_AL_00_14483555,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483555.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483555.json,,,,0,0,0,True
RT_AL_00_14483561,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483561.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483561.json,,,,0,0,0,True
RT_AL_00_14483593,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483593.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483593.json,,,,0,0,0,True
RT_AL_00_14483595,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483595.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483595.json,,,,0,0,0,True
RT_AL_00_14483604,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483604.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483604.json,,,,0,0,0,True
RT_AL_00_14483605,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483605.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483605.json,,,,0,0,0,True
RT_AL_00_14483615,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483615.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483615.json,,,,0,0,0,True
RT_AL_00_14483617,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483617.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483617.json,,,,0,0,0,True
RT_AL_00_14483618,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483618.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483618.json,,,,0,0,0,True
RT_AL_00_14483628,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483628.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483628.json,,,,0,0,0,True
RT_AL_00_14483630,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483630.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483630.json,,,,0,0,0,True
RT_AL_00_14483635,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483635.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483635.json,,,,0,0,0,True
RT_AL_00_14483642,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483642.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483642.json,,,,0,0,0,True
RT_AL_00_14483649,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483649.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483649.json,,,,0,0,0,True
RT_AL_00_14483650,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483650.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483650.json,,,,0,0,0,True
RT_AL_00_14483665,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483665.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483665.json,,,,0,0,0,True
RT_AL_00_14483672,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483672.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483672.json,,,,0,0,0,True
RT_AL_00_14483673,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483673.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483673.json,,,,0,0,0,True
RT_AL_00_14483685,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483685.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483685.json,,,,0,0,0,True
RT_AL_00_14483690,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483690.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483690.json,,,,0,0,0,True
RT_AL_00_14483712,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483712.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483712.json,,,,0,0,0,True
RT_AL_00_14483727,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483727.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483727.json,,,,0,0,0,True
RT_AL_00_14483742,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483742.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483742.json,,,,0,0,0,True
RT_AL_00_14483764,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483764.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483764.json,,,,0,0,0,True
RT_AL_00_14483775,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483775.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483775.json,,,,0,0,0,True
RT_AL_00_14483790,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483790.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483790.json,,,,0,0,0,True
RT_AL_00_14483798,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483798.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483798.json,,,,0,0,0,True
RT_AL_00_14483810,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483810.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483810.json,,,,0,0,0,True
RT_AL_00_14483843,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483843.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483843.json,,,,0,0,0,True
RT_AL_00_14483870,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483870.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483870.json,,,,0,0,0,True
RT_AL_00_14483879,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483879.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483879.json,,,,0,0,0,True
RT_AL_00_14483896,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483896.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483896.json,,,,0,0,0,True
RT_AL_00_14483902,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483902.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483902.json,,,,0,0,0,True
RT_AL_00_14483906,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483906.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483906.json,,,,0,0,0,True
RT_AL_00_14483931,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483931.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483931.json,,,,0,0,0,True
RT_AL_00_14483935,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483935.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483935.json,,,,0,0,0,True
RT_AL_00_14483936,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483936.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483936.json,,,,0,0,0,True
RT_AL_00_14483942,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483942.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483942.json,,,,0,0,0,True
RT_AL_00_14483944,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483944.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483944.json,,,,0,0,0,True
RT_AL_00_14483953,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483953.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483953.json,,,,0,0,0,True
RT_AL_00_14483957,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483957.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483957.json,,,,0,0,0,True
RT_AL_00_14483962,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483962.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483962.json,,,,0,0,0,True
RT_AL_00_14483964,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483964.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483964.json,,,,0,0,0,True
RT_AL_00_14483966,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483966.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483966.json,,,,0,0,0,True
RT_AL_00_14483972,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483972.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483972.json,,,,0,0,0,True
RT_AL_00_14483980,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483980.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483980.json,,,,0,0,0,True
RT_AL_00_14484000,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484000.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484000.json,,,,0,0,0,True
RT_AL_00_14484020,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484020.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484020.json,,,,0,0,0,True
RT_AL_00_14484027,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484027.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484027.json,,,,0,0,0,True
RT_AL_00_14484034,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484034.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484034.json,,,,0,0,0,True
RT_AL_00_14484047,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484047.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484047.json,,,,0,0,0,True
RT_AL_00_14484054,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484054.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484054.json,,,,0,0,0,True
RT_AL_00_14484091,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484091.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484091.json,,,,0,0,0,True
RT_AL_00_14484117,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484117.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484117.json,,,,0,0,0,True
RT_AL_00_14484140,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484140.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484140.json,,,,0,0,0,True
RT_AL_00_14484143,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484143.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484143.json,,,,0,0,0,True
RT_AL_00_14484149,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484149.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484149.json,,,,0,0,0,True
RT_AL_00_14484153,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484153.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484153.json,,,,0,0,0,True
RT_AL_00_14484160,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484160.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484160.json,,,,0,0,0,True
RT_AL_00_14484173,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484173.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484173.json,,,,0,0,0,True
RT_AL_00_14484184,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484184.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484184.json,,,,0,0,0,True
RT_AL_00_14484188,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484188.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484188.json,,,,0,0,0,True
RT_AL_00_14484203,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484203.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484203.json,,,,0,0,0,True
RT_AL_00_14484204,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484204.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484204.json,,,,0,0,0,True
RT_AL_00_14484212,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484212.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484212.json,,,,0,0,0,True
RT_AL_00_14484226,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484226.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484226.json,,,,0,0,0,True
RT_AL_00_14484252,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484252.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484252.json,,,,0,0,0,True
RT_AL_00_14484255,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484255.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484255.json,,,,0,0,0,True
RT_AL_00_14484265,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484265.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484265.json,,,,0,0,0,True
RT_AL_00_14484304,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484304.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484304.json,,,,0,0,0,True
RT_AL_00_14484313,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484313.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484313.json,,,,0,0,0,True
RT_AL_00_14484314,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484314.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484314.json,,,,0,0,0,True
RT_AL_00_14484346,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484346.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484346.json,,,,0,0,0,True
RT_AL_00_14484349,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484349.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484349.json,,,,0,0,0,True
RT_AL_00_14484365,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484365.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484365.json,,,,0,0,0,True
RT_AL_00_14484367,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484367.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484367.json,,,,0,0,0,True
RT_AL_00_14484378,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484378.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484378.json,,,,0,0,0,True
RT_AL_00_14484384,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484384.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484384.json,,,,0,0,0,True
RT_AL_00_14484397,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484397.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484397.json,,,,0,0,0,True
RT_AL_00_14484405,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484405.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484405.json,,,,0,0,0,True
RT_AL_00_14484421,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484421.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484421.json,,,,0,0,0,True
RT_AL_00_14484435,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484435.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484435.json,,,,0,0,0,True
RT_AL_00_14484441,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484441.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484441.json,,,,0,0,0,True
RT_AL_00_14484444,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484444.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484444.json,,,,0,0,0,True
RT_AL_00_14484446,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484446.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484446.json,,,,0,0,0,True
RT_AL_00_14484460,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484460.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484460.json,,,,0,0,0,True
RT_AL_00_14484464,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484464.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484464.json,,,,0,0,0,True
RT_AL_00_14484468,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484468.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484468.json,,,,0,0,0,True
RT_AL_00_14484469,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484469.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484469.json,,,,0,0,0,True
RT_AL_00_14484473,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484473.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484473.json,,,,0,0,0,True
RT_AL_00_14484482,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484482.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484482.json,,,,0,0,0,True
RT_AL_00_14484504,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484504.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484504.json,,,,0,0,0,True
RT_AL_00_14484511,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484511.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484511.json,,,,0,0,0,True
RT_AL_00_14484524,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484524.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484524.json,,,,0,0,0,True
RT_AL_00_14484533,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484533.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484533.json,,,,0,0,0,True
RT_AL_00_14484537,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484537.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484537.json,,,,0,0,0,True
RT_AL_00_14484541,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484541.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484541.json,,,,0,0,0,True
RT_AL_00_14484564,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484564.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484564.json,,,,0,0,0,True
RT_AL_00_14484568,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484568.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484568.json,,,,0,0,0,True
RT_AL_00_14484569,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484569.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484569.json,,,,0,0,0,True
RT_AL_00_14484570,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484570.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484570.json,,,,0,0,0,True
RT_AL_00_14484577,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484577.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484577.json,,,,0,0,0,True
RT_AL_00_14484591,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484591.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484591.json,,,,0,0,0,True
RT_AL_00_14484619,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484619.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484619.json,,,,0,0,0,True
RT_AL_00_14484625,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484625.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484625.json,,,,0,0,0,True
RT_AL_00_14484628,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484628.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484628.json,,,,0,0,0,True
RT_AL_00_14484634,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484634.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484634.json,,,,0,0,0,True
RT_AL_00_14484655,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484655.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484655.json,,,,0,0,0,True
RT_AL_00_14484662,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484662.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484662.json,,,,0,0,0,True
RT_AL_00_14484668,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484668.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484668.json,,,,0,0,0,True
RT_AL_00_14484669,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484669.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484669.json,,,,0,0,0,True
RT_AL_00_14484676,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484676.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484676.json,,,,0,0,0,True
RT_AL_00_14484677,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484677.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484677.json,,,,0,0,0,True
RT_AL_00_14484690,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484690.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484690.json,,,,0,0,0,True
RT_AL_00_14484694,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484694.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484694.json,,,,0,0,0,True
RT_AL_00_14484710,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484710.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484710.json,,,,0,0,0,True
RT_AL_00_14484716,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484716.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484716.json,,,,0,0,0,True
RT_AL_00_14484727,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484727.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484727.json,,,possible_self_intersection,0,0,1,True
RT_AL_00_14484729,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484729.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484729.json,,,,0,0,0,True
RT_AL_00_14484739,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484739.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484739.json,,,,0,0,0,True
RT_AL_00_14484751,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484751.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484751.json,,,,0,0,0,True
RT_AL_00_14484753,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484753.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484753.json,,,,0,0,0,True
RT_AL_00_14484756,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484756.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484756.json,,,,0,0,0,True
