image_id,image_name,image_path,json_path,image_exists,json_exists,parse_success,inspection_type,material,width,height,status,classes,num_annotations,valid
14483555,RT_AL_00_14483555,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483555.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483555.json,True,True,True,RT,AL,4000,1272,normal,,1,True
14483561,RT_AL_00_14483561,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483561.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483561.json,True,True,True,RT,AL,3451,943,normal,,1,True
14483593,RT_AL_00_14483593,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483593.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483593.json,True,True,True,RT,AL,3313,943,normal,,1,True
14483595,RT_AL_00_14483595,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483595.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483595.json,True,True,True,RT,AL,4000,1204,normal,,1,True
14483604,RT_AL_00_14483604,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483604.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483604.json,True,True,True,RT,AL,4000,917,normal,,1,True
14483605,RT_AL_00_14483605,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483605.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483605.json,True,True,True,RT,AL,3535,943,normal,,1,True
14483615,RT_AL_00_14483615,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483615.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483615.json,True,True,True,RT,AL,3457,943,normal,,1,True
14483617,RT_AL_00_14483617,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483617.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483617.json,True,True,True,RT,AL,3535,943,normal,,1,True
14483618,RT_AL_00_14483618,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483618.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483618.json,True,True,True,RT,AL,4000,1272,normal,,1,True
14483628,RT_AL_00_14483628,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483628.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483628.json,True,True,True,RT,AL,3433,943,normal,,1,True
14483630,RT_AL_00_14483630,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483630.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483630.json,True,True,True,RT,AL,3379,943,normal,,1,True
14483635,RT_AL_00_14483635,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483635.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483635.json,True,True,True,RT,AL,3331,943,normal,,1,True
14483642,RT_AL_00_14483642,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483642.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483642.json,True,True,True,RT,AL,3389,941,normal,,1,True
14483649,RT_AL_00_14483649,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483649.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483649.json,True,True,True,RT,AL,4000,917,normal,,1,True
14483650,RT_AL_00_14483650,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483650.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483650.json,True,True,True,RT,AL,3390,951,normal,,1,True
14483665,RT_AL_00_14483665,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483665.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483665.json,True,True,True,RT,AL,3457,943,normal,,1,True
14483672,RT_AL_00_14483672,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483672.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483672.json,True,True,True,RT,AL,3019,848,normal,,1,True
14483673,RT_AL_00_14483673,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483673.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483673.json,True,True,True,RT,AL,3301,943,normal,,1,True
14483685,RT_AL_00_14483685,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483685.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483685.json,True,True,True,RT,AL,3396,951,normal,,1,True
14483690,RT_AL_00_14483690,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483690.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483690.json,True,True,True,RT,AL,3367,943,normal,,1,True
14483712,RT_AL_00_14483712,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483712.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483712.json,True,True,True,RT,AL,4000,1204,normal,,2,True
14483727,RT_AL_00_14483727,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483727.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483727.json,True,True,True,RT,AL,4000,1204,normal,,1,True
14483742,RT_AL_00_14483742,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483742.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483742.json,True,True,True,RT,AL,3337,943,normal,,1,True
14483764,RT_AL_00_14483764,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483764.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483764.json,True,True,True,RT,AL,4000,1272,normal,,1,True
14483775,RT_AL_00_14483775,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483775.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483775.json,True,True,True,RT,AL,3349,943,normal,,1,True
14483790,RT_AL_00_14483790,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483790.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483790.json,True,True,True,RT,AL,3451,925,normal,,1,True
14483798,RT_AL_00_14483798,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483798.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483798.json,True,True,True,RT,AL,3396,942,normal,,1,True
14483810,RT_AL_00_14483810,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483810.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483810.json,True,True,True,RT,AL,3003,848,normal,,1,True
14483843,RT_AL_00_14483843,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483843.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483843.json,True,True,True,RT,AL,3409,943,normal,,1,True
14483870,RT_AL_00_14483870,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483870.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483870.json,True,True,True,RT,AL,3367,943,normal,,1,True
14483879,RT_AL_00_14483879,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483879.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483879.json,True,True,True,RT,AL,3493,943,normal,,1,True
14483896,RT_AL_00_14483896,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483896.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483896.json,True,True,True,RT,AL,3439,943,normal,,1,True
14483902,RT_AL_00_14483902,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483902.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483902.json,True,True,True,RT,AL,3355,943,normal,,1,True
14483906,RT_AL_00_14483906,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483906.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483906.json,True,True,True,RT,AL,3433,943,normal,,1,True
14483931,RT_AL_00_14483931,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483931.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483931.json,True,True,True,RT,AL,4000,1272,normal,,1,True
14483935,RT_AL_00_14483935,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483935.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483935.json,True,True,True,RT,AL,3451,943,normal,,1,True
14483936,RT_AL_00_14483936,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483936.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483936.json,True,True,True,RT,AL,2960,848,normal,,1,True
14483942,RT_AL_00_14483942,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483942.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483942.json,True,True,True,RT,AL,3387,951,normal,,1,True
14483944,RT_AL_00_14483944,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483944.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483944.json,True,True,True,RT,AL,3415,943,normal,,1,True
14483953,RT_AL_00_14483953,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483953.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483953.json,True,True,True,RT,AL,3373,943,normal,,1,True
14483957,RT_AL_00_14483957,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483957.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483957.json,True,True,True,RT,AL,3397,943,normal,,1,True
14483962,RT_AL_00_14483962,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483962.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483962.json,True,True,True,RT,AL,3421,943,normal,,1,True
14483964,RT_AL_00_14483964,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483964.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483964.json,True,True,True,RT,AL,3380,950,normal,,1,True
14483966,RT_AL_00_14483966,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483966.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483966.json,True,True,True,RT,AL,3331,943,normal,,1,True
14483972,RT_AL_00_14483972,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483972.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483972.json,True,True,True,RT,AL,3435,951,normal,,1,True
14483980,RT_AL_00_14483980,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14483980.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14483980.json,True,True,True,RT,AL,3405,951,normal,,1,True
14484000,RT_AL_00_14484000,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484000.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484000.json,True,True,True,RT,AL,3392,950,normal,,1,True
14484020,RT_AL_00_14484020,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484020.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484020.json,True,True,True,RT,AL,3439,943,normal,,1,True
14484027,RT_AL_00_14484027,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484027.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484027.json,True,True,True,RT,AL,3014,848,normal,,1,True
14484034,RT_AL_00_14484034,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484034.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484034.json,True,True,True,RT,AL,3385,943,normal,,1,True
14484047,RT_AL_00_14484047,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484047.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484047.json,True,True,True,RT,AL,3008,848,normal,,1,True
14484054,RT_AL_00_14484054,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484054.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484054.json,True,True,True,RT,AL,3307,943,normal,,1,True
14484091,RT_AL_00_14484091,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484091.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484091.json,True,True,True,RT,AL,3367,943,normal,,1,True
14484117,RT_AL_00_14484117,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484117.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484117.json,True,True,True,RT,AL,3397,943,normal,,1,True
14484140,RT_AL_00_14484140,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484140.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484140.json,True,True,True,RT,AL,3355,943,normal,,1,True
14484143,RT_AL_00_14484143,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484143.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484143.json,True,True,True,RT,AL,4000,1272,normal,,1,True
14484149,RT_AL_00_14484149,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484149.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484149.json,True,True,True,RT,AL,3402,951,normal,,1,True
14484153,RT_AL_00_14484153,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484153.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484153.json,True,True,True,RT,AL,3355,943,normal,,1,True
14484160,RT_AL_00_14484160,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484160.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484160.json,True,True,True,RT,AL,3433,943,normal,,1,True
14484173,RT_AL_00_14484173,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484173.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484173.json,True,True,True,RT,AL,3349,943,normal,,1,True
14484184,RT_AL_00_14484184,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484184.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484184.json,True,True,True,RT,AL,3409,943,normal,,1,True
14484188,RT_AL_00_14484188,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484188.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484188.json,True,True,True,RT,AL,3391,943,normal,,1,True
14484203,RT_AL_00_14484203,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484203.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484203.json,True,True,True,RT,AL,3355,943,normal,,1,True
14484204,RT_AL_00_14484204,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484204.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484204.json,True,True,True,RT,AL,3445,943,normal,,1,True
14484212,RT_AL_00_14484212,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484212.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484212.json,True,True,True,RT,AL,3313,943,normal,,1,True
14484226,RT_AL_00_14484226,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484226.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484226.json,True,True,True,RT,AL,3035,848,normal,,1,True
14484252,RT_AL_00_14484252,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484252.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484252.json,True,True,True,RT,AL,3417,942,normal,,1,True
14484255,RT_AL_00_14484255,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484255.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484255.json,True,True,True,RT,AL,3463,937,normal,,1,True
14484265,RT_AL_00_14484265,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484265.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484265.json,True,True,True,RT,AL,3373,943,normal,,1,True
14484304,RT_AL_00_14484304,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484304.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484304.json,True,True,True,RT,AL,3426,948,normal,,1,True
14484313,RT_AL_00_14484313,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484313.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484313.json,True,True,True,RT,AL,3379,943,normal,,1,True
14484314,RT_AL_00_14484314,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484314.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484314.json,True,True,True,RT,AL,3415,943,normal,,1,True
14484346,RT_AL_00_14484346,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484346.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484346.json,True,True,True,RT,AL,3499,943,normal,,1,True
14484349,RT_AL_00_14484349,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484349.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484349.json,True,True,True,RT,AL,3439,943,normal,,1,True
14484365,RT_AL_00_14484365,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484365.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484365.json,True,True,True,RT,AL,3372,942,normal,,1,True
14484367,RT_AL_00_14484367,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484367.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484367.json,True,True,True,RT,AL,3399,942,normal,,1,True
14484378,RT_AL_00_14484378,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484378.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484378.json,True,True,True,RT,AL,2997,848,normal,,1,True
14484384,RT_AL_00_14484384,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484384.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484384.json,True,True,True,RT,AL,3417,942,normal,,1,True
14484397,RT_AL_00_14484397,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484397.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484397.json,True,True,True,RT,AL,3384,951,normal,,1,True
14484405,RT_AL_00_14484405,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484405.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484405.json,True,True,True,RT,AL,3361,943,normal,,1,True
14484421,RT_AL_00_14484421,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484421.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484421.json,True,True,True,RT,AL,4000,911,normal,,1,True
14484435,RT_AL_00_14484435,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484435.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484435.json,True,True,True,RT,AL,3451,943,normal,,1,True
14484441,RT_AL_00_14484441,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484441.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484441.json,True,True,True,RT,AL,4000,917,normal,,1,True
14484444,RT_AL_00_14484444,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484444.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484444.json,True,True,True,RT,AL,3445,943,normal,,1,True
14484446,RT_AL_00_14484446,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484446.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484446.json,True,True,True,RT,AL,3469,943,normal,,1,True
14484460,RT_AL_00_14484460,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484460.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484460.json,True,True,True,RT,AL,3383,950,normal,,1,True
14484464,RT_AL_00_14484464,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484464.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484464.json,True,True,True,RT,AL,3390,942,normal,,1,True
14484468,RT_AL_00_14484468,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484468.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484468.json,True,True,True,RT,AL,3391,943,normal,,1,True
14484469,RT_AL_00_14484469,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484469.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484469.json,True,True,True,RT,AL,3193,943,normal,,1,True
14484473,RT_AL_00_14484473,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484473.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484473.json,True,True,True,RT,AL,3367,943,normal,,1,True
14484482,RT_AL_00_14484482,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484482.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484482.json,True,True,True,RT,AL,3319,943,normal,,1,True
14484504,RT_AL_00_14484504,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484504.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484504.json,True,True,True,RT,AL,3367,943,normal,,1,True
14484511,RT_AL_00_14484511,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484511.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484511.json,True,True,True,RT,AL,4000,1272,normal,,1,True
14484524,RT_AL_00_14484524,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484524.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484524.json,True,True,True,RT,AL,3373,943,normal,,1,True
14484533,RT_AL_00_14484533,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484533.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484533.json,True,True,True,RT,AL,2924,850,normal,,1,True
14484537,RT_AL_00_14484537,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484537.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484537.json,True,True,True,RT,AL,3414,942,normal,,1,True
14484541,RT_AL_00_14484541,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484541.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484541.json,True,True,True,RT,AL,4000,1204,normal,,1,True
14484564,RT_AL_00_14484564,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484564.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484564.json,True,True,True,RT,AL,3349,943,normal,,1,True
14484568,RT_AL_00_14484568,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484568.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484568.json,True,True,True,RT,AL,3367,943,normal,,1,True
14484569,RT_AL_00_14484569,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484569.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484569.json,True,True,True,RT,AL,3405,951,normal,,1,True
14484570,RT_AL_00_14484570,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484570.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484570.json,True,True,True,RT,AL,3337,943,normal,,1,True
14484577,RT_AL_00_14484577,data/raw/steel/01.원천데이터/1. RTAL/RT_AL_00_14484577.jpg,data/raw/steel/02.라벨링데이터/1. RTAL/RT_AL_00_14484577.json,True,True,True,RT,AL,3390,951,normal,,1,True
