image_name,status,classes,object_count,group,selected,exclusion_reason,duplicate,quality_status,split_group
RT_AL_00_14483935,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483936,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483942,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483944,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483953,normal,,1,normal,True,,False,pass,val
RT_AL_00_14483957,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14483962,normal,,1,normal,True,,False,pass,train
RT_AL_00_14483964,normal,,1,normal,True,,False,pass,val
RT_AL_00_14483966,normal,,1,normal,True,,False,pass,test
RT_AL_00_14483972,normal,,1,normal,True,,False,pass,val
RT_AL_00_14483980,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484000,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484020,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484027,normal,,1,normal,True,,False,pass,test
RT_AL_00_14484034,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484047,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484054,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484091,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484117,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484140,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484143,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484149,normal,,1,normal,True,,False,pass,test
RT_AL_00_14484153,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484160,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484173,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484184,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484188,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484203,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484204,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484212,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484226,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484252,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484255,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484265,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484304,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484313,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484314,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484346,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484349,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484365,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484367,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484378,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484384,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484397,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484405,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484421,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484435,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484441,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484444,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484446,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484460,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484464,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484468,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484469,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484473,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484482,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484504,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484511,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484524,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484533,normal,,1,normal,True,,False,pass,val
RT_AL_00_14484537,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484541,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484564,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484568,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484569,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484570,normal,,1,normal,True,,False,pass,test
RT_AL_00_14484577,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484591,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484619,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484625,normal,,1,normal,True,,False,pass,val
RT_AL_00_14484628,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484634,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484655,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484662,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484668,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484669,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484676,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484677,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484690,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484694,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484710,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484716,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484727,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484729,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484739,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484751,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484753,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484756,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484768,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484787,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484792,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484795,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484799,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484809,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484810,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484819,normal,,1,normal,True,,False,pass,val
RT_AL_00_14484823,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484836,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484846,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484882,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484892,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484906,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484908,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484923,normal,,1,normal,True,,False,pass,test
RT_AL_00_14484937,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484982,normal,,1,normal,True,,False,pass,train
RT_AL_00_14484987,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14484998,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485020,normal,,1,normal,True,,False,pass,val
RT_AL_00_14485033,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485044,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485064,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485073,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485083,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485102,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485115,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485151,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485156,normal,,1,normal,True,,False,pass,test
RT_AL_00_14485159,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485167,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485174,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485208,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485216,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485218,normal,,1,normal,True,,False,pass,val
RT_AL_00_14485219,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485220,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485262,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485284,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485294,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485298,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485305,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485306,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485329,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485335,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485337,normal,,1,normal,True,,False,pass,test
RT_AL_00_14485370,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485391,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485402,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485404,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485415,normal,,1,normal,True,,False,pass,val
RT_AL_00_14485428,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485437,normal,,1,normal,True,,False,pass,test
RT_AL_00_14485440,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485442,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485467,normal,,1,normal,True,,False,pass,val
RT_AL_00_14485469,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485471,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485474,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485506,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485510,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485516,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485526,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485533,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485536,normal,,1,normal,True,,False,pass,val
RT_AL_00_14485546,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485579,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485595,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485606,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485613,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485617,normal,,1,normal,True,,False,pass,val
RT_AL_00_14485618,normal,,1,normal,True,,False,pass,test
RT_AL_00_14485631,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485640,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485644,normal,,1,normal,True,,False,pass,val
RT_AL_00_14485654,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485670,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485678,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485681,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485682,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485684,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485702,normal,,1,normal,True,,False,pass,val
RT_AL_00_14485703,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485704,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485712,normal,,1,normal,True,,False,pass,train
RT_AL_00_14485716,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_00_14485718,normal,,1,normal,False,quota_not_selected,False,pass,
RT_AL_01_14487435,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487442,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487446,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487447,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487454,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487460,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487464,defect,crack,3,excluded,False,non_target_class,False,pass,
RT_AL_01_14487471,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487492,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487496,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487524,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487526,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487528,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487531,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487533,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487552,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487553,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487563,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487565,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487571,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487572,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487590,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487598,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487600,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487603,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487608,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487610,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487612,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487619,defect,crack,4,excluded,False,non_target_class,False,pass,
RT_AL_01_14487631,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487633,defect,crack,6,excluded,False,non_target_class,False,pass,
RT_AL_01_14487650,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487666,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487680,defect,crack,3,excluded,False,non_target_class,False,pass,
RT_AL_01_14487734,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_01_14487735,defect,crack,1,excluded,False,non_target_class,False,pass,
RT_AL_01_14487736,defect,crack,3,excluded,False,non_target_class,False,pass,
RT_AL_01_14487743,defect,crack,2,excluded,False,non_target_class,False,pass,
RT_AL_02_14483871,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14487762,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487769,defect,porosity,1,porosity,True,,False,pass,val
RT_AL_02_14487771,defect,porosity,5,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487779,defect,porosity,3,porosity,True,,False,pass,val
RT_AL_02_14487790,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487794,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487800,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487811,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487812,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487814,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487815,defect,porosity,12,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487821,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14487822,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487829,defect,porosity,3,porosity,True,,False,pass,train
RT_AL_02_14487845,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487873,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14487891,defect,porosity,4,porosity,True,,False,pass,train
RT_AL_02_14487914,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487926,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14487927,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14487941,defect,porosity,2,porosity,True,,False,pass,train
RT_AL_02_14487996,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488001,defect,porosity,1,porosity,True,,False,pass,test
RT_AL_02_14488006,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488009,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488012,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488023,defect,porosity,2,porosity,True,,False,pass,val
RT_AL_02_14488032,defect,porosity,3,porosity,True,,False,pass,test
RT_AL_02_14488033,defect,porosity,3,porosity,True,,False,pass,train
RT_AL_02_14488036,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488048,defect,porosity,10,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488062,defect,porosity,4,porosity,True,,False,pass,val
RT_AL_02_14488068,defect,porosity,4,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488069,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488080,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488091,defect,porosity,1,porosity,True,,False,pass,test
RT_AL_02_14488097,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488112,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488136,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488155,defect,porosity,2,porosity,True,,False,pass,train
RT_AL_02_14488176,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488184,defect,porosity,2,porosity,True,,False,pass,test
RT_AL_02_14488185,defect,lack_of_fusion;porosity,4,excluded,False,off_target_class_present,False,pass,
RT_AL_02_14488193,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488198,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488212,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488218,defect,porosity,8,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488222,defect,porosity,2,porosity,True,,False,pass,train
RT_AL_02_14488270,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488272,defect,porosity,11,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488285,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488306,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488324,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488328,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488343,defect,porosity,1,porosity,True,,False,pass,val
RT_AL_02_14488368,defect,porosity,7,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488379,defect,porosity,3,porosity,True,,False,pass,test
RT_AL_02_14488384,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488402,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488422,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488432,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488461,defect,porosity,1,porosity,True,,False,pass,test
RT_AL_02_14488466,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488480,defect,porosity,1,porosity,True,,False,pass,test
RT_AL_02_14488486,defect,porosity,2,porosity,True,,False,pass,val
RT_AL_02_14488488,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488506,defect,porosity,5,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488509,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488533,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488543,defect,porosity,4,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488570,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488582,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488584,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488590,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488600,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488606,defect,porosity,2,porosity,True,,False,pass,train
RT_AL_02_14488621,defect,porosity,2,porosity,True,,False,pass,train
RT_AL_02_14488625,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488626,defect,porosity,11,porosity,True,,False,pass,train
RT_AL_02_14488661,defect,porosity,2,porosity,True,,False,pass,train
RT_AL_02_14488663,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488665,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488682,defect,porosity;slag_inclusion,3,both,True,,False,pass,train
RT_AL_02_14488683,defect,porosity,2,porosity,True,,False,pass,train
RT_AL_02_14488690,defect,porosity,3,porosity,True,,False,pass,val
RT_AL_02_14488700,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488705,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488716,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488733,defect,porosity,2,porosity,True,,False,pass,val
RT_AL_02_14488745,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488749,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488767,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488779,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488786,defect,porosity,1,porosity,True,,False,pass,test
RT_AL_02_14488795,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488809,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488813,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488830,defect,porosity,5,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488847,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488854,defect,porosity,1,porosity,True,,False,pass,train
RT_AL_02_14488857,defect,porosity,4,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488858,defect,porosity,7,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488878,defect,porosity,3,porosity,True,,False,pass,val
RT_AL_02_14488887,defect,lack_of_fusion;porosity,5,excluded,False,off_target_class_present,False,pass,
RT_AL_02_14488902,defect,porosity,4,porosity,True,,False,pass,test
RT_AL_02_14488913,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488920,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488925,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488936,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488939,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14488967,defect,porosity,2,porosity,True,,False,pass,train
RT_AL_02_14488984,defect,porosity,3,porosity,True,,False,pass,train
RT_AL_02_14488988,defect,porosity,6,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14489005,defect,porosity,1,porosity,True,,False,pass,val
RT_AL_02_14489020,defect,porosity,3,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14489030,defect,porosity,1,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14489033,defect,porosity,4,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14489043,defect,porosity,4,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14489044,defect,porosity,3,porosity,True,,False,pass,train
RT_AL_02_14489051,defect,porosity,3,porosity,True,,False,pass,train
RT_AL_02_14489063,defect,porosity,2,porosity,False,quota_not_selected,False,pass,
RT_AL_02_14489072,defect,porosity,1,porosity,True,,False,pass,train
